text,intent,response,entities
transfer money to John,transfer_money,💸 Please confirm recipient name and amount to transfer.,"amount,person_name"
cancel my card,block_card,🚫 Your card has been blocked successfully.,card_type
what is my account balance,check_balance,💰 Please share your account number to check your balance.,account_type
hello,greet,😃 Hello! How can I assist you today?,
complaint about service,complaint,⚠️ Your complaint has been registered. We’ll get back soon.,
view loan details,loan_info,📄 Fetching your loan details now.,loan_type
can I get a loan,apply_loan,📝 Let's start your loan application!,loan_type
current loan balance,loan_info,📄 Fetching your loan details now.,loan_type
freeze my card,block_card,🚫 Your card has been blocked successfully.,card_type
how to apply for loan,apply_loan,📝 Let's start your loan application!,loan_type
open current account,open_account,🏦 Sure! Let's open your new account.,account_type
view loan details,loan_info,📄 Fetching your loan details now.,loan_type
start a savings account,open_account,🏦 Sure! Let's open your new account.,account_type
block my ATM card,block_card,🚫 Your card has been blocked successfully.,card_type
I need a car loan,apply_loan,📝 Let's start your loan application!,loan_type
block my ATM card,block_card,🚫 Your card has been blocked successfully.,card_type
get my loan info,loan_info,📄 Fetching your loan details now.,loan_type
report unauthorized transaction,complaint,⚠️ Your complaint has been registered. We’ll get back soon.,
tell me my balance,check_balance,💰 Please share your account number to check your balance.,account_type
current balance please,check_balance,💰 Please share your account number to check your balance.,account_type
show my loan details,loan_info,📄 Fetching your loan details now.,loan_type
how much money do I have,check_balance,💰 Please share your account number to check your balance.,account_type
disable my card,block_card,🚫 Your card has been blocked successfully.,card_type
how to apply for loan,apply_loan,📝 Let's start your loan application!,loan_type
make a payment,transfer_money,💸 Please confirm recipient name and amount to transfer.,"amount,person_name"
can I get a loan,apply_loan,📝 Let's start your loan application!,loan_type
get a loan,apply_loan,📝 Let's start your loan application!,loan_type
close current account,close_account,🔒 Your account closure request is being processed.,account_type
what is my loan amount,loan_info,📄 Fetching your loan details now.,loan_type
how to apply for loan,apply_loan,📝 Let's start your loan application!,loan_type
display my balance,check_balance,💰 Please share your account number to check your balance.,account_type
show my balance,check_balance,💰 Please share your account number to check your balance.,account_type
good afternoon,greet,😃 Hello! How can I assist you today?,
transfer to my savings account,transfer_money,💸 Please confirm recipient name and amount to transfer.,"amount,person_name"
report unauthorized transaction,complaint,⚠️ Your complaint has been registered. We’ll get back soon.,
resume my debit card,unblock_card,✅ Your card is now unblocked and ready to use.,card_type
need a new account,open_account,🏦 Sure! Let's open your new account.,account_type
file a complaint,complaint,⚠️ Your complaint has been registered. We’ll get back soon.,
current balance please,check_balance,💰 Please share your account number to check your balance.,account_type
reactivate my card,unblock_card,✅ Your card is now unblocked and ready to use.,card_type
yo,greet,😃 Hello! How can I assist you today?,
send cash,transfer_money,💸 Please confirm recipient name and amount to transfer.,"amount,person_name"
